donor_code,di_id
1,AT
2,BE
3,DK
4,FR
5,DE
6,IT
7,NL
8,NO
9,PT
10,SE
11,CH
12,GB
18,FI
20,IS
21,IE
22,LU
30,CY
40,GR
45,MT
50,ES
55,TR
61,SI
62,HR
68,CZ
69,SK
70,LI
72,BG
75,HU
76,PL
77,RO
82,EE
83,LV
84,LT
87,RU
104,nordic-dev-fund
130,DZ
133,LY
301,CA
302,US
543,IQ
546,IL
552,KW
561,QA
566,SA
576,AE
611,AZ
613,KZ
701,JP
732,TW
742,KR
764,TH
765,TL
801,AU
807,unep
811,gef
812,montreal-protocol
820,NZ
901,ibrd
903,ifc
905,ida
906,cardb
907,imf
909,idb
912,idb-special-fund
913,afdb
914,afdf
915,asdb
916,asdb-special-funds
918,EU
921,arab-fund-afesd
923,unpbf
928,who
932,fao
940,international-labour-organisation
944,iaea
948,unece
951,ofid
953,badea
958,imf-concessional-trust-funds
959,undp
960,unta
963,unicef
964,unrwa
966,wfp
967,unhcr
971,unaids
974,unfpa
976,islamic-dev-bank
978,osce
988,ifad
990,ebrd
992,un-agencies
1011,cif
1012,adaptation-fund
1013,ceb
1311,gavi
1312,global-fund
1313,gggi
1601,bmgf
20001,dac-countries-total
20002,multilateral-total
20003,g7-countries-total
20004,dac-eu-members-and-ec-total
20005,all-donors-total
20006,non-dac-countries-total
20007,other-donor-countries
20011,dac-eu-members-total
20012,world-bank-group
20013,international-monetary-fund-total
20014,inter-american-development-bank-total
20015,asian-development-bank-total
20016,african-development-bank-total
20018,other-multilaterals
20021,united-nations-total
20022,regional-development-banks-total
20033,world-bank-total
20034,other-multilateral-total
21600,private-donors-total
